ticker,yfinance_symbol,name,gics_sector,gics_sub_industry
MMM,MMM,3M,Industrials,Industrial Conglomerates
AOS,AOS,A. O. Smith,Industrials,Building Products
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,ABBV,AbbVie,Health Care,Biotechnology
ACN,ACN,Accenture,Information Technology,IT Consulting & Other Services
ADBE,ADBE,Adobe Inc.,Information Technology,Application Software
AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors
AES,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,AFL,Aflac,Financials,Life & Health Insurance
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services
APD,APD,Air Products,Materials,Industrial Gases
ABNB,ABNB,Airbnb,Consumer Discretionary,Hotels Resorts & Cruise Lines
AKAM,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals
ARE,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ALGN,ALGN,Align Technology,Health Care,Health Care Supplies
ALLE,ALLE,Allegion,Industrials,Building Products
LNT,LNT,Alliant Energy,Utilities,Electric Utilities
ALL,ALL,Allstate,Financials,Property & Casualty Insurance
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
MO,MO,Altria,Consumer Staples,Tobacco
AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail
AMCR,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials
AEE,AEE,Ameren,Utilities,Multi-Utilities
AEP,AEP,American Electric Power,Utilities,Electric Utilities
AXP,AXP,American Express,Financials,Consumer Finance
AIG,AIG,American International Group,Financials,Multi-line Insurance
AMT,AMT,American Tower,Real Estate,Telecom Tower REITs
AWK,AWK,American Water Works,Utilities,Water Utilities
AMP,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AME,AME,Ametek,Industrials,Electrical Components & Equipment
AMGN,AMGN,Amgen,Health Care,Biotechnology
APH,APH,Amphenol,Information Technology,Electronic Components
ADI,ADI,Analog Devices,Information Technology,Semiconductors
AON,AON,Aon plc,Financials,Insurance Brokers
APA,APA,APA Corporation,Energy,Oil & Gas Exploration & Production
APO,APO,Apollo Global Management,Financials,Asset Management & Custody Banks
AAPL,AAPL,Apple Inc.,Information Technology,Technology Hardware Storage & Peripherals
AMAT,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment
APP,APP,AppLovin,Information Technology,Application Software
APTV,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ACGL,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance
ADM,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ARES,ARES,Ares Management,Financials,Asset Management & Custody Banks
ANET,ANET,Arista Networks,Information Technology,Communications Equipment
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AIZ,AIZ,Assurant,Financials,Multi-line Insurance
T,T,AT&T,Communication Services,Integrated Telecommunication Services
ATO,ATO,Atmos Energy,Utilities,Gas Utilities
ADSK,ADSK,Autodesk,Information Technology,Application Software
ADP,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services
AZO,AZO,AutoZone,Consumer Discretionary,Automotive Retail
AVB,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
AVY,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AXON,AXON,Axon Enterprise,Industrials,Aerospace & Defense
BKR,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BALL,BALL,Ball Corporation,Materials,Metal Glass & Plastic Containers
BAC,BAC,Bank of America,Financials,Diversified Banks
BAX,BAX,Baxter International,Health Care,Health Care Equipment
BDX,BDX,Becton Dickinson,Health Care,Health Care Equipment
BRK.B,BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BBY,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
TECH,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
BIIB,BIIB,Biogen,Health Care,Biotechnology
BLK,BLK,BlackRock,Financials,Asset Management & Custody Banks
BX,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks
XYZ,XYZ,Block Inc.,Financials,Transaction & Payment Processing Services
BNY,BNY,BNY Mellon,Financials,Asset Management & Custody Banks
BA,BA,Boeing,Industrials,Aerospace & Defense
BKNG,BKNG,Booking Holdings,Consumer Discretionary,Hotels Resorts & Cruise Lines
BSX,BSX,Boston Scientific,Health Care,Health Care Equipment
BMY,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
AVGO,AVGO,Broadcom,Information Technology,Semiconductors
BR,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BRO,BRO,Brown & Brown,Financials,Insurance Brokers
BF.B,BF-B,Brown-Forman,Consumer Staples,Distillers & Vintners
BLDR,BLDR,Builders FirstSource,Industrials,Building Products
BG,BG,Bunge Global,Consumer Staples,Agricultural Products & Services
BXP,BXP,BXP Inc.,Real Estate,Office REITs
CHRW,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics
CDNS,CDNS,Cadence Design Systems,Information Technology,Application Software
CPT,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs
COF,COF,Capital One,Financials,Consumer Finance
CAH,CAH,Cardinal Health,Health Care,Health Care Distributors
CCL,CCL,Carnival Corporation,Consumer Discretionary,Hotels Resorts & Cruise Lines
CARR,CARR,Carrier Global,Industrials,Building Products
CVNA,CVNA,Carvana,Consumer Discretionary,Automotive Retail
CASY,CASY,Casey's,Consumer Staples,Food Retail
CAT,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CBOE,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,CBRE,CBRE Group,Real Estate,Real Estate Services
CDW,CDW,CDW Corporation,Information Technology,Technology Distributors
COR,COR,Cencora,Health Care,Health Care Distributors
CNC,CNC,Centene Corporation,Health Care,Managed Health Care
CNP,CNP,CenterPoint Energy,Utilities,Multi-Utilities
CF,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
CRL,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
SCHW,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
CHTR,CHTR,Charter Communications,Communication Services,Cable & Satellite
CVX,CVX,Chevron Corporation,Energy,Integrated Oil & Gas
CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
CB,CB,Chubb Limited,Financials,Property & Casualty Insurance
CHD,CHD,Church & Dwight,Consumer Staples,Household Products
CIEN,CIEN,Ciena,Information Technology,Communications Equipment
CI,CI,Cigna,Health Care,Health Care Services
CINF,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance
CTAS,CTAS,Cintas,Industrials,Diversified Support Services
CSCO,CSCO,Cisco,Information Technology,Communications Equipment
C,C,Citigroup,Financials,Diversified Banks
CFG,CFG,Citizens Financial Group,Financials,Regional Banks
CLX,CLX,Clorox,Consumer Staples,Household Products
CME,CME,CME Group,Financials,Financial Exchanges & Data
CMS,CMS,CMS Energy,Utilities,Multi-Utilities
KO,KO,Coca-Cola Company,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
CTSH,CTSH,Cognizant,Information Technology,IT Consulting & Other Services
COHR,COHR,Coherent Corp.,Information Technology,Electronic Components
COIN,COIN,Coinbase,Financials,Financial Exchanges & Data
CL,CL,Colgate-Palmolive,Consumer Staples,Household Products
CMCSA,CMCSA,Comcast,Communication Services,Cable & Satellite
FIX,FIX,Comfort Systems USA,Industrials,Construction & Engineering
COP,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
ED,ED,Consolidated Edison,Utilities,Multi-Utilities
STZ,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
CEG,CEG,Constellation Energy,Utilities,Electric Utilities
COO,COO,Cooper Companies,Health Care,Health Care Supplies
CPRT,CPRT,Copart,Industrials,Diversified Support Services
GLW,GLW,Corning Inc.,Information Technology,Electronic Components
CPAY,CPAY,Corpay,Financials,Transaction & Payment Processing Services
CTVA,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
CSGP,CSGP,CoStar Group,Real Estate,Real Estate Services
COST,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail
CRH,CRH,CRH plc,Materials,Construction Materials
CRWD,CRWD,CrowdStrike,Information Technology,Systems Software
CCI,CCI,Crown Castle,Real Estate,Telecom Tower REITs
CSX,CSX,CSX Corporation,Industrials,Rail Transportation
CMI,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment
CVS,CVS,CVS Health,Health Care,Health Care Services
DHR,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services
DRI,DRI,Darden Restaurants,Consumer Discretionary,Restaurants
DDOG,DDOG,Datadog,Information Technology,Application Software
DVA,DVA,DaVita,Health Care,Health Care Services
DECK,DECK,Deckers Brands,Consumer Discretionary,Footwear
DE,DE,Deere & Company,Industrials,Agricultural & Farm Machinery
DELL,DELL,Dell Technologies,Information Technology,Technology Hardware Storage & Peripherals
DAL,DAL,Delta Air Lines,Industrials,Passenger Airlines
DVN,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
DXCM,DXCM,Dexcom,Health Care,Health Care Equipment
FANG,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
DLR,DLR,Digital Realty,Real Estate,Data Center REITs
DG,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
DLTR,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail
D,D,Dominion Energy,Utilities,Multi-Utilities
DPZ,DPZ,Domino's,Consumer Discretionary,Restaurants
DASH,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services
DOV,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
DOW,DOW,Dow Inc.,Materials,Commodity Chemicals
DHI,DHI,D. R. Horton,Consumer Discretionary,Homebuilding
DTE,DTE,DTE Energy,Utilities,Multi-Utilities
DUK,DUK,Duke Energy,Utilities,Electric Utilities
DD,DD,DuPont,Materials,Specialty Chemicals
ETN,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
EBAY,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail
ECHO,ECHO,EchoStar,Communication Services,Wireless Telecommunication Services
ECL,ECL,Ecolab,Materials,Specialty Chemicals
EIX,EIX,Edison International,Utilities,Electric Utilities
EW,EW,Edwards Lifesciences,Health Care,Health Care Equipment
EA,EA,Electronic Arts,Communication Services,Interactive Home Entertainment
ELV,ELV,Elevance Health,Health Care,Managed Health Care
EME,EME,Emcor,Industrials,Construction & Engineering
EMR,EMR,Emerson Electric,Industrials,Electrical Components & Equipment
ETR,ETR,Entergy,Utilities,Electric Utilities
EOG,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EQT,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
EFX,EFX,Equifax,Industrials,Research & Consulting Services
EQIX,EQIX,Equinix,Real Estate,Data Center REITs
EQR,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs
ERIE,ERIE,Erie Indemnity,Financials,Insurance Brokers
ESS,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs
EL,EL,Estee Lauder Companies,Consumer Staples,Personal Care Products
EG,EG,Everest Group,Financials,Reinsurance
EVRG,EVRG,Evergy,Utilities,Electric Utilities
ES,ES,Eversource Energy,Utilities,Electric Utilities
EXC,EXC,Exelon,Utilities,Electric Utilities
EXE,EXE,Expand Energy,Energy,Oil & Gas Exploration & Production
EXPE,EXPE,Expedia Group,Consumer Discretionary,Hotels Resorts & Cruise Lines
EXPD,EXPD,Expeditors International,Industrials,Air Freight & Logistics
EXR,EXR,Extra Space Storage,Real Estate,Self-Storage REITs
XOM,XOM,ExxonMobil,Energy,Integrated Oil & Gas
FFIV,FFIV,F5 Inc.,Information Technology,Communications Equipment
FDS,FDS,FactSet,Financials,Financial Exchanges & Data
FICO,FICO,Fair Isaac,Information Technology,Application Software
FAST,FAST,Fastenal,Industrials,Trading Companies & Distributors
FRT,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
FDX,FDX,FedEx,Industrials,Air Freight & Logistics
FDXF,FDXF,FedEx Freight,Industrials,Cargo Ground Transportation
FIS,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services
FITB,FITB,Fifth Third Bancorp,Financials,Regional Banks
FSLR,FSLR,First Solar,Information Technology,Semiconductors
FE,FE,FirstEnergy,Utilities,Electric Utilities
FISV,FISV,Fiserv,Financials,Transaction & Payment Processing Services
FLEX,FLEX,Flex Ltd.,Information Technology,Electronic Manufacturing Services
F,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
FTNT,FTNT,Fortinet,Information Technology,Systems Software
FTV,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components
FOXA,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting
FOX,FOX,Fox Corporation (Class B),Communication Services,Broadcasting
BEN,BEN,Franklin Resources,Financials,Asset Management & Custody Banks
FCX,FCX,Freeport-McMoRan,Materials,Copper
GRMN,GRMN,Garmin,Consumer Discretionary,Consumer Electronics
IT,IT,Gartner,Information Technology,IT Consulting & Other Services
GE,GE,GE Aerospace,Industrials,Aerospace & Defense
GEHC,GEHC,GE HealthCare,Health Care,Health Care Equipment
GEV,GEV,GE Vernova,Industrials,Heavy Electrical Equipment
GEN,GEN,Gen Digital,Information Technology,Systems Software
GNRC,GNRC,Generac,Industrials,Electrical Components & Equipment
GD,GD,General Dynamics,Industrials,Aerospace & Defense
GIS,GIS,General Mills,Consumer Staples,Packaged Foods & Meats
GM,GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GPC,GPC,Genuine Parts Company,Consumer Discretionary,Distributors
GILD,GILD,Gilead Sciences,Health Care,Biotechnology
GPN,GPN,Global Payments,Financials,Transaction & Payment Processing Services
GL,GL,Globe Life,Financials,Life & Health Insurance
GDDY,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure
GS,GS,Goldman Sachs,Financials,Investment Banking & Brokerage
HAL,HAL,Halliburton,Energy,Oil & Gas Equipment & Services
HIG,HIG,Hartford,Financials,Property & Casualty Insurance
HAS,HAS,Hasbro,Consumer Discretionary,Leisure Products
HCA,HCA,HCA Healthcare,Health Care,Health Care Facilities
DOC,DOC,Healthpeak Properties,Real Estate,Health Care REITs
HSIC,HSIC,Henry Schein,Health Care,Health Care Distributors
HSY,HSY,Hershey Company,Consumer Staples,Packaged Foods & Meats
HPE,HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware Storage & Peripherals
HLT,HLT,Hilton Worldwide,Consumer Discretionary,Hotels Resorts & Cruise Lines
HD,HD,Home Depot,Consumer Discretionary,Home Improvement Retail
HONA,HONA,Honeywell Aerospace,Industrials,Aerospace & Defense
HON,HON,Honeywell Technologies,Industrials,Industrial Conglomerates
HRL,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HST,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HWM,HWM,Howmet Aerospace,Industrials,Aerospace & Defense
HPQ,HPQ,HP Inc.,Information Technology,Technology Hardware Storage & Peripherals
HUBB,HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components
HUM,HUM,Humana,Health Care,Managed Health Care
HBAN,HBAN,Huntington Bancshares,Financials,Regional Banks
HII,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
IBM,IBM,IBM,Information Technology,IT Consulting & Other Services
IEX,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
IDXX,IDXX,Idexx Laboratories,Health Care,Health Care Equipment
ITW,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
INCY,INCY,Incyte,Health Care,Biotechnology
IR,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
PODD,PODD,Insulet Corporation,Health Care,Health Care Equipment
INTC,INTC,Intel,Information Technology,Semiconductors
IBKR,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage
ICE,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IFF,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
IP,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials
INTU,INTU,Intuit,Information Technology,Application Software
ISRG,ISRG,Intuitive Surgical,Health Care,Health Care Equipment
IVZ,IVZ,Invesco,Financials,Asset Management & Custody Banks
INVH,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs
IQV,IQV,IQVIA,Health Care,Life Sciences Tools & Services
IRM,IRM,Iron Mountain,Real Estate,Other Specialized REITs
JBHT,JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation
JBL,JBL,Jabil,Information Technology,Electronic Manufacturing Services
JKHY,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
J,J,Jacobs Solutions,Industrials,Construction & Engineering
JNJ,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
JCI,JCI,Johnson Controls,Industrials,Building Products
JPM,JPM,JPMorgan Chase,Financials,Diversified Banks
KVUE,KVUE,Kenvue,Consumer Staples,Personal Care Products
KDP,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,KEY,KeyCorp,Financials,Regional Banks
KEYS,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
KMB,KMB,Kimberly-Clark,Consumer Staples,Household Products
KIM,KIM,Kimco Realty,Real Estate,Retail REITs
KMI,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KKR,KKR,KKR & Co.,Financials,Asset Management & Custody Banks
KLAC,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
KHC,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
